African,North African Eggs
American,Hamburgers
American,Steak
Bread,Olive Tomato and Rosemary Focaccia
Breakfast,Omelette
Breakfast,Quiche
Dessert,Apple Crumble
Dessert,Bread and Butter Pudding
Dessert,Christmas Bombe
English,Beef Wellington
French,Chocolate Tarts with Peanut Brittle
Italian,Brussel Sprouts with Pancetta
Italian,Pizza
Jamaican,Jerk Chicken
Japanese,Teriyaki Salmon
Meat,Honey Glazed Ham
Meat,Roast Turkey with Lemon Parsley and Garlic
Meat,Slow Roasted Pork Belly
Meat,Slow-cooked Beef Short Ribs
Meat,Slow-cooked Fiery Lamb
Mediterranean,Roasted Squash Hummus
Potatoes,Roast Potatoes With Chilli and Turmeric
Poultry,Butter Chicken
Salad,Quinoa Salad
Salad,Spicy Beef Salad
Seafood,Fish Pie
Seafood,Pan-fried Scallops with Crunchy Apple Salad
Soups,Cream of Cauliflower Soup
Soups,Pumpkin Soup
Vegetarian,Asparagus with Lemon and Tarragon Hollandaise
